                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5435,                 2.6508,                 3.5987,                0.86526,                0.77865,                0.89104,                0.65993,                 1.3161,                 1.5653,                 2.4386,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.0603,                0.96077,                 1.8368,                0.96823,                0.94283,                 0.9727,                0.84368,                0.75314,                0.83829,                 1.4763,              0.0065943,              0.0065943,              0.0065943
                      3,                0.74457,                0.64995,                 1.4013,                0.98385,                0.96342,                 0.9769,                0.86672,                0.65774,                0.67433,                 1.3204,              0.0097957,              0.0097957,              0.0097957
                      4,                0.64343,                0.52061,                 1.2794,                0.99411,                0.96004,                0.97744,                  0.877,                0.63622,                0.57076,                 1.3011,               0.009703,               0.009703,               0.009703
                      5,                0.58675,                0.44165,                  1.222,                0.99304,                0.96681,                0.98378,                0.88262,                0.61007,                0.57483,                 1.2339,               0.009604,               0.009604,               0.009604
                      6,                0.56097,                 0.4038,                  1.194,                0.98032,                0.94475,                0.97305,                0.87074,                 0.6097,                0.56818,                 1.2368,               0.009505,               0.009505,               0.009505
                      7,                0.54089,                0.37635,                 1.1773,                0.99413,                0.96897,                0.98625,                0.89211,                0.56275,                0.46521,                  1.193,               0.009406,               0.009406,               0.009406
                      8,                0.52839,                0.36147,                 1.1654,                0.99415,                0.96646,                0.98533,                0.89189,                0.56704,                 0.4739,                 1.1922,               0.009307,               0.009307,               0.009307
                      9,                0.52192,                 0.3502,                 1.1594,                0.99483,                 0.9642,                0.98606,                0.89543,                0.56078,                0.43052,                 1.1845,               0.009208,               0.009208,               0.009208
                     10,                 0.5159,                0.34333,                 1.1543,                0.99111,                0.97141,                0.98964,                0.90032,                0.54435,                 0.4416,                 1.1816,               0.009109,               0.009109,               0.009109
                     11,                0.50588,                0.32886,                  1.146,                 0.9911,                0.97182,                0.98995,                0.90193,                 0.5341,                0.40081,                 1.1452,                0.00901,                0.00901,                0.00901
